Water Company,Spill Days
United Utilities,27333.927916666667
South West Water,22114.039166666666
Yorkshire Water,21516.102916666667
Severn Trent Water,18351.924583333333
Wessex Water,15514.200179140007
Southern Water,13220.204166666666
Northumbrian Water,11667.884826387313
Anglian Water,11381.781412037037
Thames Water,8183.91875
Dwr Cymru Welsh Water,973.09375
